name,price,product_url,브랜드,부위,gender,collaborate,uniform,sport,image_path,prob_cute,prob_hiphop,prob_classic,prob_interview,prob_date(first),prob_maturity,prob_luxury,prob_date,prob_casual,prob_young,prob_sexy,prob_trip,prob_beautiful,prob_lovely,prob_unique,prob_pretty,prob_picnic,prob_pattern,prob_Scary,prob_influencer,prob_work,prob_nice,prob_party,prob_sports,prob_art,predicted_labels
NT7UQ14B 남성 캠프 에브리데이 반팔 라운드 티,35000,https://www.musinsa.com/products/4125443,노스페이스,top,male,,,,"525_infront.jpg,525_back.jpg",0.109456331,0.117928647,0.635500193,0.068645038,0.156685084,0.101530448,0.107797742,0.245110244,0.512425423,0.124481097,0.085333832,0.143310219,0.125809059,0.083440155,0.182776675,0.08245331,0.269006997,0.23567073,0.094122313,0.067079633,0.076967306,0.133906245,0.122341342,0.227924109,0.098908268,"classic,casual"
OT7UQ20A PO 팀코리아 원 얼스 반팔 라운드티,34500,https://www.musinsa.com/products/4194086,노스페이스,top,male,,,,"526_infront.jpg,526_back.jpg",0.10728772,0.105669707,0.665672779,0.055495575,0.13690336,0.078233302,0.096578203,0.208134294,0.525723338,0.106938191,0.071628325,0.125513226,0.117979303,0.072517157,0.160416469,0.067991428,0.249337584,0.179887712,0.098090261,0.046594363,0.055572987,0.118206017,0.103492014,0.219019085,0.071276493,"classic,casual"
OT7UQ18A PO 팀코리아 컬러링 반팔 라운드티,39000,https://www.musinsa.com/products/4194090,노스페이스,top,male,,,,"527_infront.jpg,527_back.jpg",0.195762798,0.196146235,0.599502623,0.101914585,0.182413995,0.136266738,0.137917235,0.277207077,0.476213753,0.19633697,0.121746518,0.176175237,0.213255495,0.113370672,0.26016435,0.141726881,0.314488709,0.28578046,0.178256974,0.129873365,0.114633322,0.198304787,0.161079586,0.27931869,0.19834201,classic
NT7UQ06C 맨즈 리커버리 반팔 라운드 티,29000,https://www.musinsa.com/products/4004409,노스페이스,top,male,,,,"528_infront.jpg,528_back.jpg",0.102728993,0.105714567,0.647173643,0.058285996,0.134387702,0.075425126,0.095781729,0.202137426,0.510495424,0.106575288,0.072059385,0.12374796,0.116688207,0.07331235,0.152348191,0.071771212,0.24207373,0.179159552,0.098868892,0.046551153,0.057167176,0.116454072,0.10315945,0.195391893,0.071601026,"classic,casual"
NT7UQ00K 화이트라벨 코튼 반팔 라운드티,35000,https://www.musinsa.com/products/4081888,노스페이스,top,male,,,,"529_infront.jpg,529_back.jpg",0.117395051,0.121523388,0.615152419,0.071248785,0.163799629,0.095280059,0.115086451,0.218262717,0.498052478,0.120512985,0.083973005,0.140388235,0.131908253,0.089457691,0.178900838,0.085135542,0.259171575,0.206165329,0.118797086,0.065549932,0.075717174,0.141317844,0.125232488,0.189531654,0.085600637,classic
NT7UQ11J 화이트라벨 원 얼스 EX 반팔 라운드티,39000,https://www.musinsa.com/products/4158945,노스페이스,top,male,,,,"530_infront.jpg,530_back.jpg",0.190674365,0.173599601,0.587421179,0.083251774,0.159960747,0.103669517,0.113779902,0.24974069,0.495169789,0.171048999,0.094129026,0.160555467,0.184704959,0.110271655,0.202743739,0.137512699,0.273991704,0.249834821,0.170717359,0.08603774,0.088969298,0.175336048,0.140651971,0.201550975,0.134784922,classic
NT7UQ12A 남성 시티 트래블 반팔 라운드 티,35000,https://www.musinsa.com/products/4141951,노스페이스,top,male,,,,"531_infront.jpg,531_back.jpg",0.202585131,0.16773726,0.622516811,0.069535479,0.145966053,0.096914805,0.109930195,0.243430629,0.509176791,0.161230952,0.090070039,0.14512895,0.179295897,0.106359676,0.200909838,0.133543238,0.271142602,0.207427621,0.180693239,0.078854322,0.075931385,0.170547485,0.136118725,0.210852787,0.138278827,"classic,casual"
코튼 발포 그래픽 반팔 티셔츠 (S25MMFTS66) Dark Charcoal,56050,https://www.musinsa.com/products/4814911,스노우피클 어패럴,top,male,,,,"532_infront.jpg,532_back.jpg",0.171763852,0.152565345,0.614299417,0.078361139,0.164262742,0.090292558,0.110676005,0.222871393,0.496229053,0.143620789,0.101506889,0.142725885,0.181683093,0.109523393,0.199741736,0.126891389,0.266921461,0.195794329,0.182964563,0.086084038,0.074474163,0.171626836,0.141707137,0.173130319,0.114637308,classic
NT7UQ15A 남성 하이크 앤 캠프 반팔 라운드 티,41000,https://www.musinsa.com/products/4093493,노스페이스,top,male,,,,"533_infront.jpg,533_back.jpg",0.153580442,0.127780184,0.629810393,0.063793853,0.143620312,0.074614458,0.099047244,0.200724646,0.490065604,0.131107017,0.084832661,0.127687842,0.151404679,0.091870762,0.176648289,0.100945443,0.249046698,0.175664216,0.153901562,0.067828983,0.057570975,0.146763846,0.118564658,0.162704334,0.100638427,classic
NT7UQ59A 남성 하이랜드 반팔티_CREAM,48300,https://www.musinsa.com/products/4399608,노스페이스,top,male,,,,"534_infront.jpg,534_back.jpg",0.216838345,0.159149021,0.652368307,0.073476374,0.149952769,0.082820468,0.103124723,0.203962833,0.501689136,0.166250959,0.0963815,0.144252419,0.191843569,0.104348637,0.206682488,0.135383487,0.264992982,0.184566244,0.212231025,0.080462776,0.069790691,0.174749225,0.13376911,0.189261496,0.137225345,"classic,casual"
